job_id,title,company_id,location,employment_type,seniority_level,remote,description,skills_required,industry,views_count,applicants_count,status,posted_datetime,recruiter_id
8dfcf12d-7fec-4423-b87c-e4d7e41649c6,Site Reliability Engineer,company-0332,Miami, FL,FULL_TIME,Director,hybrid,We are looking for a talented Infrastructure Engineer to join our growing team. You will work on challenging problems at scale.,Rust|C++|Systems Programming,Technology,2123,241,closed,2026-04-13 18:45:20,recruiter-00578
aabaf71c-6080-439a-80f8-4b99b3e51755,Backend Engineer,company-0108,Denver, CO,INTERNSHIP,Associate,onsite,We are looking for a talented Data Scientist to join our growing team. You will work on challenging problems at scale.,Go|AWS,Media,1457,178,open,2026-04-25 18:45:20,recruiter-00485
432049aa-62f6-49e0-a83e-4131099a8434,Backend Engineer,company-0207,Portland, OR,PART_TIME,Director,onsite,We are looking for a talented UI Designer to join our growing team. You will work on challenging problems at scale.,Scala|Spark,Energy,2572,245,open,2026-02-05 19:45:20,recruiter-00336
b0bccb99-c765-4bfb-a980-457eb5b131ba,Site Reliability Engineer,company-0033,Houston, TX,FULL_TIME,Internship,remote,We are looking for a talented Backend Engineer to join our growing team. You will work on challenging problems at scale.,Rust|C++|Systems Programming,Media,837,36,closed,2026-02-02 19:45:20,recruiter-00642
7d08cb5d-b21c-4a53-947e-de8e529f43bd,UX Designer,company-0299,Nashville, TN,CONTRACT,Entry,hybrid,We are looking for a talented Product Manager to join our growing team. You will work on challenging problems at scale.,Python|TensorFlow|ML|PyTorch,Retail,3518,117,open,2026-02-08 19:45:20,recruiter-00552
e4b069f8-4e7e-4dae-97f3-78ab2ab50938,QA Engineer,company-0352,Portland, OR,FULL_TIME,Internship,onsite,We are looking for a talented Product Manager to join our growing team. You will work on challenging problems at scale.,Systems Programming|Rust,Finance,3079,272,closed,2026-04-01 18:45:20,recruiter-01000
dbc5c97c-d686-47c7-8427-0143d74835c2,DevOps Engineer,company-0097,Hybrid - San Francisco,FULL_TIME,Mid-Senior,hybrid,We are looking for a talented Senior Software Engineer to join our growing team. You will work on challenging problems at scale.,Azure|Ansible,Media,980,236,open,2026-02-22 19:45:20,recruiter-00979
4b89fe1a-0e0c-48d9-926c-64a0dd2e3dbb,Infrastructure Engineer,company-0498,San Diego, CA,PART_TIME,Associate,onsite,We are looking for a talented Staff Engineer to join our growing team. You will work on challenging problems at scale.,GCP|Azure,Transportation,3630,260,open,2026-04-03 18:45:20,recruiter-00004
d7cc6ce0-64e2-4b31-b613-5445c6b631ff,Business Analyst,company-0038,Hybrid - San Francisco,FULL_TIME,Mid-Senior,remote,We are looking for a talented Marketing Manager to join our growing team. You will work on challenging problems at scale.,Spark|Kafka|Hadoop,Manufacturing,1123,195,open,2026-04-04 18:45:20,recruiter-00444
30a1257e-0149-4bc2-9305-74d383cc3cd1,Cloud Architect,company-0255,Houston, TX,CONTRACT,Associate,hybrid,We are looking for a talented Marketing Manager to join our growing team. You will work on challenging problems at scale.,gRPC|Kubernetes,Technology,3893,79,open,2026-03-22 18:45:20,recruiter-00438
192884a5-3cb6-4908-a8a9-fd747ddf41e9,ML Engineer,company-0217,San Diego, CA,INTERNSHIP,Associate,remote,We are looking for a talented Full Stack Engineer to join our growing team. You will work on challenging problems at scale.,Java|Docker|Kubernetes,Healthcare,3217,162,closed,2026-03-12 18:45:20,recruiter-00862
2614b236-f07e-4538-a2f6-8957a6d865a2,Site Reliability Engineer,company-0386,San Diego, CA,INTERNSHIP,Internship,remote,We are looking for a talented Engineering Manager to join our growing team. You will work on challenging problems at scale.,Go|gRPC|Kubernetes|AWS,Healthcare,535,151,open,2026-03-07 19:45:20,recruiter-00366
22b3cc45-5bd3-4399-bc29-f9afb7a6b7db,Data Analyst,company-0116,Minneapolis, MN,INTERNSHIP,Entry,hybrid,We are looking for a talented Staff Engineer to join our growing team. You will work on challenging problems at scale.,Postgres|Elasticsearch|Redis|MySQL,Media,4894,122,open,2026-03-16 18:45:20,recruiter-00863
c78972c0-e4e7-49ad-9f38-299ce4f85fe2,Staff Engineer,company-0493,Houston, TX,PART_TIME,Internship,remote,We are looking for a talented iOS Engineer to join our growing team. You will work on challenging problems at scale.,AWS|Azure|Terraform|GCP,Finance,3975,3,closed,2026-04-02 18:45:20,recruiter-00287
b4a72247-86f8-4dca-b16c-dd7be6f3d14c,Product Designer,company-0200,Chicago, IL,INTERNSHIP,Associate,remote,We are looking for a talented Infrastructure Engineer to join our growing team. You will work on challenging problems at scale.,AWS|gRPC|Kubernetes|Go,Finance,3882,35,open,2026-03-17 18:45:20,recruiter-00865
33fcb22a-09bc-4720-96c1-7c3502e248cb,Technical Lead,company-0412,Hybrid - New York,PART_TIME,Mid-Senior,hybrid,We are looking for a talented Data Engineer to join our growing team. You will work on challenging problems at scale.,PostgreSQL|Python,Media,4673,143,open,2026-03-25 18:45:20,recruiter-00891
35aefd04-90b0-4e67-8471-300f2cc8f9cb,UI Designer,company-0248,Atlanta, GA,INTERNSHIP,Internship,hybrid,We are looking for a talented Frontend Engineer to join our growing team. You will work on challenging problems at scale.,Spark|Kafka|Hadoop,Finance,357,131,open,2026-02-05 19:45:20,recruiter-00963
da6969ff-54f5-4cd4-aa48-4ba5dcc9480c,Security Engineer,company-0151,San Francisco, CA,FULL_TIME,Director,hybrid,We are looking for a talented iOS Engineer to join our growing team. You will work on challenging problems at scale.,Python|PostgreSQL|FastAPI,Manufacturing,3337,247,open,2026-03-02 19:45:20,recruiter-00752
b10c7977-12ec-47de-baff-2bf7143db31b,Product Designer,company-0066,Austin, TX,INTERNSHIP,Associate,hybrid,We are looking for a talented Android Engineer to join our growing team. You will work on challenging problems at scale.,PostgreSQL|Django|Python|FastAPI,Energy,3529,136,open,2026-03-18 18:45:20,recruiter-00668
57cd241b-cc2d-4be3-8ef3-ef4583f4419e,Infrastructure Engineer,company-0324,Hybrid - Seattle,CONTRACT,Entry,remote,We are looking for a talented Software Engineer to join our growing team. You will work on challenging problems at scale.,Kafka|Spark,Retail,203,244,open,2026-04-09 18:45:20,recruiter-00542
04e1dc0c-dc1b-432e-8c94-948c67370d89,Infrastructure Engineer,company-0321,Dallas, TX,INTERNSHIP,Director,onsite,We are looking for a talented Sales Engineer to join our growing team. You will work on challenging problems at scale.,Django|FastAPI,Manufacturing,1230,53,open,2026-03-07 19:45:20,recruiter-00334
f93e55ce-2804-4b17-9427-65616b095a4b,Infrastructure Engineer,company-0232,Remote,PART_TIME,Entry,onsite,We are looking for a talented Data Scientist to join our growing team. You will work on challenging problems at scale.,Kafka|Spark|Scala|Hadoop,Retail,4465,110,open,2026-03-12 18:45:20,recruiter-00129
50287176-ac23-46fe-bb99-cc72b9717ccc,Platform Engineer,company-0013,Hybrid - Seattle,INTERNSHIP,Associate,onsite,We are looking for a talented Platform Engineer to join our growing team. You will work on challenging problems at scale.,Azure|Terraform|AWS|Ansible,Retail,4797,54,open,2026-02-06 19:45:20,recruiter-00381
a57aeec8-d43f-4e63-8f75-35bb42dde4d0,Principal Engineer,company-0162,Dallas, TX,CONTRACT,Internship,onsite,We are looking for a talented iOS Engineer to join our growing team. You will work on challenging problems at scale.,React|Node.js|TypeScript|JavaScript,Retail,3347,209,open,2026-02-16 19:45:20,recruiter-00202
a5a1d5dd-e4e9-441c-9ddf-27b498a7dbc7,Data Engineer,company-0488,Seattle, WA,PART_TIME,Internship,hybrid,We are looking for a talented Marketing Manager to join our growing team. You will work on challenging problems at scale.,gRPC|Go,Energy,1911,264,open,2026-01-27 19:45:20,recruiter-00567
d92887f5-7073-49ee-bc8e-5b64f8bf4496,Product Designer,company-0276,San Diego, CA,FULL_TIME,Entry,onsite,We are looking for a talented QA Engineer to join our growing team. You will work on challenging problems at scale.,Systems Programming|C++,Education,3741,232,open,2026-04-20 18:45:20,recruiter-00055
dc7e2464-66f8-46c4-9e5c-5276fea8c5af,UI Designer,company-0046,Boston, MA,FULL_TIME,Entry,hybrid,We are looking for a talented Frontend Engineer to join our growing team. You will work on challenging problems at scale.,TypeScript|Node.js,Energy,4383,298,open,2026-03-22 18:45:20,recruiter-00317
ebf3f8a3-f32a-4558-b9e2-ad6515eae0d8,DevOps Engineer,company-0316,Hybrid - San Francisco,INTERNSHIP,Director,onsite,We are looking for a talented Product Designer to join our growing team. You will work on challenging problems at scale.,Postgres|MySQL|Redis,Finance,1435,38,open,2026-02-17 19:45:20,recruiter-00653
6e6635fd-f5ef-4179-93e6-d647fc03da53,Infrastructure Engineer,company-0280,San Jose, CA,PART_TIME,Internship,onsite,We are looking for a talented Data Analyst to join our growing team. You will work on challenging problems at scale.,Scala|Hadoop|Spark|Kafka,Manufacturing,1797,225,open,2026-02-21 19:45:20,recruiter-00216
b566164a-a8de-4aaf-a92d-b8755241bcb9,Solutions Architect,company-0043,Minneapolis, MN,PART_TIME,Entry,hybrid,We are looking for a talented Engineering Manager to join our growing team. You will work on challenging problems at scale.,Kafka|Hadoop,Healthcare,3367,263,open,2026-01-30 19:45:20,recruiter-00436
6b0a10c0-f14a-4364-b239-9662a11e32c2,Data Engineer,company-0158,Los Angeles, CA,FULL_TIME,Director,hybrid,We are looking for a talented Data Scientist to join our growing team. You will work on challenging problems at scale.,Systems Programming|Rust|C++,Healthcare,334,47,open,2026-03-24 18:45:20,recruiter-00809
eb2f806b-9406-4f70-a8cb-a3146d455538,Android Engineer,company-0264,Detroit, MI,CONTRACT,Internship,hybrid,We are looking for a talented UI Designer to join our growing team. You will work on challenging problems at scale.,Spark|Hadoop,Healthcare,4387,43,open,2026-03-10 18:45:20,recruiter-00635
0b9fbb1e-3442-4889-a2b2-a6ffc2c10b09,Infrastructure Engineer,company-0219,Austin, TX,PART_TIME,Mid-Senior,hybrid,We are looking for a talented Platform Engineer to join our growing team. You will work on challenging problems at scale.,Java|Kubernetes,Finance,4651,288,open,2026-04-11 18:45:20,recruiter-00041
78ae5004-e002-4efc-9182-819ca2f7b064,Marketing Manager,company-0158,Chicago, IL,CONTRACT,Mid-Senior,onsite,We are looking for a talented Senior Software Engineer to join our growing team. You will work on challenging problems at scale.,Hadoop|Scala|Kafka,Transportation,4816,184,open,2026-03-20 18:45:20,recruiter-00394
7a875990-1c97-481e-a5d4-da25f16be4da,Full Stack Engineer,company-0119,Miami, FL,CONTRACT,Associate,hybrid,We are looking for a talented Data Scientist to join our growing team. You will work on challenging problems at scale.,JavaScript|TypeScript|Node.js,Retail,4524,294,open,2026-03-27 18:45:20,recruiter-00925
cfb9e828-bb0a-4648-8c92-d33acadd3669,Solutions Architect,company-0164,Dallas, TX,FULL_TIME,Director,onsite,We are looking for a talented Staff Engineer to join our growing team. You will work on challenging problems at scale.,Kafka|Spark|Scala|Hadoop,Transportation,1669,95,open,2026-04-24 18:45:20,recruiter-00992
576927b4-60ed-456b-97ff-ee1b7d18570f,Senior Software Engineer,company-0108,Houston, TX,FULL_TIME,Associate,hybrid,We are looking for a talented Principal Engineer to join our growing team. You will work on challenging problems at scale.,Azure|AWS|GCP,Consulting,3236,25,open,2026-03-29 18:45:20,recruiter-00660
9fd6337f-782b-44bb-872d-d30bdf954d3c,Site Reliability Engineer,company-0266,Portland, OR,PART_TIME,Director,onsite,We are looking for a talented UI Designer to join our growing team. You will work on challenging problems at scale.,C++|Rust|Systems Programming,Retail,936,159,open,2026-04-16 18:45:20,recruiter-00240
160a34c5-a8e1-465e-81cc-68aa71c7e132,Staff Engineer,company-0485,Dallas, TX,INTERNSHIP,Entry,remote,We are looking for a talented Frontend Engineer to join our growing team. You will work on challenging problems at scale.,Postgres|MySQL,Energy,74,289,closed,2026-02-16 19:45:20,recruiter-00085
a7cad26a-1a0d-481a-bd7a-07731b149b64,Full Stack Engineer,company-0023,Boston, MA,PART_TIME,Mid-Senior,onsite,We are looking for a talented Marketing Manager to join our growing team. You will work on challenging problems at scale.,CSS|HTML|UX|Vue,Consulting,3493,22,closed,2026-02-05 19:45:20,recruiter-00507
9efc1efc-85c6-450f-ba38-e86a2ab1a926,Engineering Manager,company-0081,Portland, OR,FULL_TIME,Associate,onsite,We are looking for a talented Sales Engineer to join our growing team. You will work on challenging problems at scale.,Kafka|Spark|Hadoop|Scala,Media,4292,196,open,2026-01-30 19:45:20,recruiter-00977
e76ebbbd-b2a5-44a4-81cf-d0a29b000637,Infrastructure Engineer,company-0041,San Francisco, CA,PART_TIME,Entry,hybrid,We are looking for a talented Data Engineer to join our growing team. You will work on challenging problems at scale.,C++|Systems Programming,Finance,3002,103,open,2026-04-02 18:45:20,recruiter-00302
0f9028ba-d912-445b-bd71-424f2835069b,Data Analyst,company-0472,Nashville, TN,PART_TIME,Entry,onsite,We are looking for a talented Full Stack Engineer to join our growing team. You will work on challenging problems at scale.,React|TypeScript,Retail,2244,197,open,2026-04-17 18:45:20,recruiter-00797
c596d7d1-7bf7-4a8a-a4e2-a93b65df6b83,DevOps Engineer,company-0482,Denver, CO,PART_TIME,Director,remote,We are looking for a talented Software Engineer to join our growing team. You will work on challenging problems at scale.,Kubernetes|AWS|Go,Consulting,1497,231,open,2026-02-02 19:45:20,recruiter-00669
76b4294b-444e-43c8-bc88-24403aea3690,Product Manager,company-0421,Phoenix, AZ,INTERNSHIP,Director,remote,We are looking for a talented Engineering Manager to join our growing team. You will work on challenging problems at scale.,MySQL|Redis|MongoDB,Finance,599,165,open,2026-03-29 18:45:20,recruiter-00958
f6a0f538-aaa3-4f02-b1af-22450a197062,Software Engineer,company-0049,San Diego, CA,INTERNSHIP,Entry,remote,We are looking for a talented Data Engineer to join our growing team. You will work on challenging problems at scale.,React|Vue,Technology,481,214,open,2026-04-17 18:45:20,recruiter-00762
7c22ca35-8366-4c15-a609-8a48af4ebda6,Business Analyst,company-0382,Boston, MA,PART_TIME,Mid-Senior,onsite,We are looking for a talented Site Reliability Engineer to join our growing team. You will work on challenging problems at scale.,Kubernetes|Go,Education,47,68,open,2026-03-29 18:45:20,recruiter-00855
8e9b1db0-1104-49cc-a6e9-0dd101fb6c1e,Marketing Manager,company-0375,Remote,CONTRACT,Internship,onsite,We are looking for a talented QA Engineer to join our growing team. You will work on challenging problems at scale.,Spark|Kafka|Hadoop|Scala,Retail,2502,294,open,2026-02-21 19:45:20,recruiter-00577
f21b958b-b63c-4c7c-b13e-ce8078c2c963,QA Engineer,company-0432,Columbus, OH,FULL_TIME,Associate,onsite,We are looking for a talented Frontend Engineer to join our growing team. You will work on challenging problems at scale.,AWS|Terraform,Transportation,258,73,open,2026-03-12 18:45:20,recruiter-00092
bfee7498-120b-4372-97c3-f9607fa6283e,Business Analyst,company-0361,Phoenix, AZ,FULL_TIME,Entry,hybrid,We are looking for a talented Sales Engineer to join our growing team. You will work on challenging problems at scale.,HTML|CSS|React,Education,1742,171,open,2026-02-01 19:45:20,recruiter-00538
50aa2f3b-69a2-4937-83c2-2249ec58f811,Technical Lead,company-0323,Hybrid - New York,PART_TIME,Internship,remote,We are looking for a talented Security Engineer to join our growing team. You will work on challenging problems at scale.,Rust|Systems Programming|C++,Media,3427,142,open,2026-02-23 19:45:20,recruiter-00238
bb16d829-7c02-463e-b2aa-553d69a504c0,DevOps Engineer,company-0139,Atlanta, GA,FULL_TIME,Associate,hybrid,We are looking for a talented QA Engineer to join our growing team. You will work on challenging problems at scale.,Redis|Postgres|Elasticsearch|MongoDB,Energy,396,172,open,2026-03-05 19:45:20,recruiter-00155
17e12484-cacd-478c-8a2f-c43cc56bd69c,QA Engineer,company-0471,Austin, TX,FULL_TIME,Director,remote,We are looking for a talented QA Engineer to join our growing team. You will work on challenging problems at scale.,Kafka|Spark|Scala|Hadoop,Finance,3174,179,closed,2026-04-13 18:45:20,recruiter-00429
b88ac446-55e3-4ecc-92cb-e3732f5e9fe3,DevOps Engineer,company-0473,Detroit, MI,PART_TIME,Mid-Senior,onsite,We are looking for a talented Backend Engineer to join our growing team. You will work on challenging problems at scale.,Postgres|Redis,Energy,1245,102,closed,2026-02-23 19:45:20,recruiter-00291
4000774c-f965-4bb6-940f-53bffbd8055e,Product Designer,company-0059,Hybrid - San Francisco,FULL_TIME,Mid-Senior,hybrid,We are looking for a talented Frontend Engineer to join our growing team. You will work on challenging problems at scale.,Scala|Kafka|Spark,Energy,2738,131,open,2026-04-21 18:45:20,recruiter-00872
bb79454c-148e-4665-a3eb-2ce9f72a62db,Platform Engineer,company-0260,Portland, OR,CONTRACT,Internship,onsite,We are looking for a talented UX Designer to join our growing team. You will work on challenging problems at scale.,Rust|Systems Programming,Healthcare,2596,184,open,2026-04-08 18:45:20,recruiter-00794
e8ffd404-b7d2-4468-b847-db479d026053,QA Engineer,company-0185,San Francisco, CA,PART_TIME,Mid-Senior,remote,We are looking for a talented Principal Engineer to join our growing team. You will work on challenging problems at scale.,GCP|Ansible|AWS,Consulting,2710,9,open,2026-02-23 19:45:20,recruiter-00652
33eb88d4-6c55-48b6-ac16-55635636a23a,Staff Engineer,company-0469,Detroit, MI,INTERNSHIP,Entry,hybrid,We are looking for a talented Data Scientist to join our growing team. You will work on challenging problems at scale.,PyTorch|Python,Manufacturing,4621,183,open,2026-03-29 18:45:20,recruiter-00947
ad49d388-54d0-4593-83b3-de1252f5b677,Principal Engineer,company-0417,Austin, TX,CONTRACT,Internship,remote,We are looking for a talented DevOps Engineer to join our growing team. You will work on challenging problems at scale.,CSS|Vue|HTML|UX,Education,2603,45,open,2026-03-05 19:45:20,recruiter-00839
3b9bc415-42ef-4a95-89f1-9f351de4337c,Platform Engineer,company-0469,Detroit, MI,INTERNSHIP,Director,hybrid,We are looking for a talented Sales Engineer to join our growing team. You will work on challenging problems at scale.,ML|Python|PyTorch|TensorFlow,Manufacturing,907,58,open,2026-03-12 18:45:20,recruiter-00428
c7b56aee-0429-4a06-b1a4-72354ec80850,Software Engineer,company-0022,Houston, TX,FULL_TIME,Entry,onsite,We are looking for a talented Engineering Manager to join our growing team. You will work on challenging problems at scale.,Rust|C++|Systems Programming,Media,3534,269,open,2026-01-28 19:45:20,recruiter-00462
a01caf69-6ccb-45b4-ad9f-b1ec4fc70e40,Software Engineer,company-0284,Portland, OR,INTERNSHIP,Internship,hybrid,We are looking for a talented Site Reliability Engineer to join our growing team. You will work on challenging problems at scale.,AWS|Terraform,Manufacturing,3685,87,open,2026-02-16 19:45:20,recruiter-00365
f0fa5424-9adb-45c7-9df6-0d3c41a3565a,Principal Engineer,company-0053,Columbus, OH,INTERNSHIP,Entry,onsite,We are looking for a talented Data Engineer to join our growing team. You will work on challenging problems at scale.,Spark|Scala|Kafka,Technology,3388,143,open,2026-04-26 18:45:20,recruiter-00521
19809eda-b7fe-423c-b558-8774b7dde035,Android Engineer,company-0256,Detroit, MI,INTERNSHIP,Mid-Senior,remote,We are looking for a talented DevOps Engineer to join our growing team. You will work on challenging problems at scale.,TypeScript|Node.js,Finance,2422,278,open,2026-03-04 19:45:20,recruiter-00890
114e3f16-dd45-4fd9-b490-e30c3072b18a,Engineering Manager,company-0065,Phoenix, AZ,CONTRACT,Entry,hybrid,We are looking for a talented Data Analyst to join our growing team. You will work on challenging problems at scale.,Docker|Kubernetes|Spring Boot|Java,Consulting,1941,89,closed,2026-02-14 19:45:20,recruiter-00757
a8c1f23c-195f-4c9d-ab4b-cf8308bac2ee,Sales Engineer,company-0433,Chicago, IL,FULL_TIME,Entry,onsite,We are looking for a talented Software Engineer to join our growing team. You will work on challenging problems at scale.,Go|gRPC|AWS|Kubernetes,Media,3669,170,open,2026-01-29 19:45:20,recruiter-00685
b9aa3c2a-31e0-4369-a8e4-2d12f180b387,Cloud Architect,company-0275,Seattle, WA,FULL_TIME,Associate,remote,We are looking for a talented Staff Engineer to join our growing team. You will work on challenging problems at scale.,Terraform|Azure|GCP,Education,2873,275,open,2026-04-01 18:45:20,recruiter-00995
5ce4cba2-5f11-462d-90cc-2cb54b78efae,Senior Software Engineer,company-0494,Houston, TX,CONTRACT,Internship,hybrid,We are looking for a talented Product Designer to join our growing team. You will work on challenging problems at scale.,AWS|Azure|Terraform|Ansible,Technology,1892,173,open,2026-03-31 18:45:20,recruiter-00278
d16ba95d-18c3-46fc-aa10-21999315d756,Android Engineer,company-0065,San Diego, CA,FULL_TIME,Entry,onsite,We are looking for a talented Senior Software Engineer to join our growing team. You will work on challenging problems at scale.,Python|TensorFlow|ML,Manufacturing,3555,280,open,2026-02-27 19:45:20,recruiter-00942
b2037b06-ec85-4e5b-a3e7-d7f041145e07,Senior Software Engineer,company-0135,Dallas, TX,PART_TIME,Internship,hybrid,We are looking for a talented Marketing Manager to join our growing team. You will work on challenging problems at scale.,GCP|AWS|Terraform|Azure,Transportation,1048,240,open,2026-04-01 18:45:20,recruiter-00633
cb8df858-58d0-4a85-b901-629dccb9643e,iOS Engineer,company-0175,Hybrid - New York,CONTRACT,Associate,hybrid,We are looking for a talented Engineering Manager to join our growing team. You will work on challenging problems at scale.,TensorFlow|Python|ML|PyTorch,Consulting,3321,107,open,2026-03-22 18:45:20,recruiter-00724
7a7c5926-7ef6-4607-8414-bdd94447cfd0,iOS Engineer,company-0252,Miami, FL,INTERNSHIP,Entry,hybrid,We are looking for a talented Staff Engineer to join our growing team. You will work on challenging problems at scale.,Elasticsearch|Postgres,Manufacturing,3344,222,closed,2026-02-19 19:45:20,recruiter-00759
ae50a868-a287-44ea-8810-fbe2430f19c4,Product Designer,company-0012,Los Angeles, CA,CONTRACT,Internship,remote,We are looking for a talented Product Manager to join our growing team. You will work on challenging problems at scale.,Systems Programming|C++|Rust,Consulting,4286,213,open,2026-02-17 19:45:20,recruiter-00931
7194818f-2347-4e7d-a68b-3fba9ed6926d,Android Engineer,company-0030,Houston, TX,CONTRACT,Entry,hybrid,We are looking for a talented DevOps Engineer to join our growing team. You will work on challenging problems at scale.,Hadoop|Scala|Spark,Media,446,149,closed,2026-03-12 18:45:20,recruiter-00915
7e5914c6-750f-4de6-a22b-a08da1b28da1,Data Analyst,company-0089,Seattle, WA,FULL_TIME,Director,onsite,We are looking for a talented DevOps Engineer to join our growing team. You will work on challenging problems at scale.,Terraform|AWS|Azure,Transportation,1719,154,open,2026-04-21 18:45:20,recruiter-00713
407517d3-39f7-41e2-a095-30804c29a4f0,Data Engineer,company-0012,Detroit, MI,INTERNSHIP,Associate,remote,We are looking for a talented Solutions Architect to join our growing team. You will work on challenging problems at scale.,C++|Rust|Systems Programming,Technology,1588,152,open,2026-02-22 19:45:20,recruiter-00828
302e2b4d-d654-4969-b469-1fa0c145cc7b,Staff Engineer,company-0428,Seattle, WA,PART_TIME,Internship,hybrid,We are looking for a talented DevOps Engineer to join our growing team. You will work on challenging problems at scale.,Kubernetes|Spring Boot|Docker,Retail,4680,103,closed,2026-02-17 19:45:20,recruiter-00018
27828af3-5d90-4a87-b026-e22fa63c454a,Backend Engineer,company-0165,Austin, TX,FULL_TIME,Entry,remote,We are looking for a talented Staff Engineer to join our growing team. You will work on challenging problems at scale.,FastAPI|Python|PostgreSQL|Django,Energy,3027,161,open,2026-03-22 18:45:20,recruiter-00226
c47dfe37-b91c-460d-86fb-a597f6e2be52,Business Analyst,company-0357,New York, NY,PART_TIME,Internship,remote,We are looking for a talented Backend Engineer to join our growing team. You will work on challenging problems at scale.,Rust|Systems Programming|C++,Media,4040,232,open,2026-02-28 19:45:20,recruiter-00999
000c515f-ccbe-4a60-9514-9295c0385a7e,Security Engineer,company-0389,Minneapolis, MN,CONTRACT,Director,onsite,We are looking for a talented Frontend Engineer to join our growing team. You will work on challenging problems at scale.,AWS|Azure|Terraform,Manufacturing,1686,63,open,2026-03-08 18:45:20,recruiter-00469
71e74199-cb08-4e72-aed0-c0f8e9b470f4,Marketing Manager,company-0455,Boston, MA,PART_TIME,Entry,hybrid,We are looking for a talented UX Designer to join our growing team. You will work on challenging problems at scale.,Hadoop|Spark|Kafka|Scala,Consulting,791,225,open,2026-02-22 19:45:20,recruiter-00305
db1fe754-8a0a-4cf4-bf4b-fecb045c4ac9,UI Designer,company-0219,Remote,INTERNSHIP,Mid-Senior,remote,We are looking for a talented QA Engineer to join our growing team. You will work on challenging problems at scale.,Django|Python|PostgreSQL|FastAPI,Transportation,403,84,open,2026-02-18 19:45:20,recruiter-00589
7be4087b-e722-4308-9062-e85f1138aac0,Security Engineer,company-0422,Boston, MA,FULL_TIME,Director,onsite,We are looking for a talented iOS Engineer to join our growing team. You will work on challenging problems at scale.,HTML|UX|React|Vue,Transportation,834,182,open,2026-02-04 19:45:20,recruiter-00032
bbd223f5-791d-4ae8-bce3-02d1f715318c,Marketing Manager,company-0138,Portland, OR,CONTRACT,Entry,onsite,We are looking for a talented Technical Lead to join our growing team. You will work on challenging problems at scale.,Django|Python|FastAPI|PostgreSQL,Consulting,3494,185,closed,2026-02-12 19:45:20,recruiter-00995
